               1           2           3           4           5
177  0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1422 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1936 0.000000000 0.000000000 0.080381471 0.046321526 0.873297003
1840 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
2362 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1717 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
290  0.000000000 0.000000000 0.000000000 0.001345895 0.998654105
1962 0.000000000 0.000000000 0.001404494 0.028089888 0.970505618
2551 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1911 0.024460432 0.082014388 0.730935252 0.125179856 0.037410072
292  0.000000000 0.000000000 0.000000000 0.001333333 0.998666667
416  0.000000000 0.000000000 0.000000000 0.009222661 0.990777339
361  0.000000000 0.000000000 0.029639175 0.275773196 0.694587629
2190 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
2242 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
2393 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
2163 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1805 0.000000000 0.006839945 0.053351573 0.013679891 0.926128591
2230 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
14   0.000000000 0.000000000 0.081989247 0.108870968 0.809139785
2327 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1439 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1605 0.000000000 0.000000000 0.001371742 0.021947874 0.976680384
144  0.000000000 0.000000000 0.000000000 0.002820874 0.997179126
1462 0.000000000 0.001335113 0.463284379 0.222963952 0.312416555
2302 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
565  0.000000000 0.000000000 0.035470668 0.313778990 0.650750341
2259 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
141  0.000000000 0.000000000 0.000000000 0.001373626 0.998626374
2382 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1819 0.000000000 0.004087193 0.059945504 0.012261580 0.923705722
1678 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1610 0.000000000 0.000000000 0.000000000 0.031593407 0.968406593
577  0.000000000 0.000000000 0.029850746 0.301221167 0.668928087
2428 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
197  0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
352  0.000000000 0.000000000 0.244413408 0.027932961 0.727653631
1740 0.000000000 0.000000000 0.000000000 0.001322751 0.998677249
2166 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
430  0.000000000 0.000000000 0.028885832 0.295735901 0.675378267
2363 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
2545 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
2553 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1907 0.017808219 0.108219178 0.702739726 0.128767123 0.042465753
1827 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
47   0.000000000 0.000000000 0.050198151 0.188903567 0.760898283
74   0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1450 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
446  0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
388  0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
22   0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1945 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
593  0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
636  0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
631  0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1912 0.096368715 0.020949721 0.715083799 0.124301676 0.043296089
1591 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
640  0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1510 0.000000000 0.000000000 0.000000000 0.021361816 0.978638184
165  0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1712 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
248  0.000000000 0.000000000 0.000000000 0.005420054 0.994579946
2157 0.000000000 0.000000000 0.040595399 0.273342355 0.686062246
2310 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1937 0.000000000 0.000000000 0.080000000 0.057333333 0.862666667
73   0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1766 0.000000000 0.000000000 0.000000000 0.001347709 0.998652291
1498 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
428  0.000000000 0.000000000 0.043126685 0.295148248 0.661725067
1794 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
2270 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
644  0.000000000 0.000000000 0.045698925 0.309139785 0.645161290
2067 0.000000000 0.000000000 0.000000000 0.002624672 0.997375328
1596 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
454  0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1927 0.000000000 0.000000000 0.097560976 0.090785908 0.811653117
243  0.000000000 0.000000000 0.000000000 0.005578801 0.994421199
641  0.000000000 0.000000000 0.030898876 0.299157303 0.669943820
170  0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
659  0.000000000 0.000000000 0.031039136 0.287449393 0.681511471
344  0.000000000 0.000000000 0.236772487 0.023809524 0.739417989
2365 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
2521 0.000000000 0.001345895 0.423956931 0.142664872 0.432032301
2512 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
617  0.000000000 0.002762431 0.146408840 0.738950276 0.111878453
