"","model2.y","model2.predicted","X1","X2","X3","X4","X5"
"1753","5","5",0,0,0,0.00560224089635854,0.994397759103641
"566","4","5",0,0,0.0359520639147803,0.255659121171771,0.708388814913449
"1667","5","5",0,0,0,0,1
"648","3","5",0,0,0.0355677154582763,0.27359781121751,0.690834473324213
"406","5","5",0,0,0,0.00807537012113055,0.991924629878869
"1674","1","5",0,0,0,0,1
"2001","5","5",0,0,0.00137741046831956,0.0192837465564738,0.979338842975207
"189","4","5",0,0,0,0,1
"1747","4","5",0,0,0,0.00672043010752688,0.993279569892473
"1623","4","5",0,0,0,0,1
"1975","3","5",0,0,0.00285714285714286,0.0214285714285714,0.975714285714286
"2425","4","5",0,0,0,0,1
"2225","3","5",0,0,0,0,1
"1504","3","5",0,0,0.00133689839572193,0.0213903743315508,0.977272727272727
"2308","4","5",0,0,0,0,1
"2286","5","5",0,0,0.0201342281879195,0.00134228187919463,0.978523489932886
"2191","5","5",0,0,0,0,1
"1547","5","5",0,0,0,0,1
"1529","5","5",0,0,0,0,1
"176","5","5",0,0,0,0,1
"1801","5","5",0,0.0051413881748072,0.06426735218509,0.0154241645244216,0.915167095115681
"1472","2","5",0,0,0.388736263736264,0.192307692307692,0.418956043956044
"100","5","5",0,0,0,0,1
"260","5","5",0,0,0,0.00675675675675676,0.993243243243243
"2495","3","4",0,0.00268456375838926,0.170469798657718,0.722147651006711,0.104697986577181
"1876","3","3",0.173854447439353,0,0.402964959568733,0.0592991913746631,0.363881401617251
"2081","4","5",0,0,0,0,1
"471","3","5",0,0,0.025,0.276315789473684,0.698684210526316
"2444","5","5",0,0,0,0,1
"1973","4","5",0,0,0.00271370420624152,0.0203527815468114,0.976933514246947
"2315","5","5",0,0,0,0,1
"2237","3","5",0,0,0,0,1
"1961","3","5",0,0,0.00141442715700141,0.0183875530410184,0.98019801980198
"268","4","5",0,0,0,0,1
"2129","4","5",0,0,0,0,1
"2068","4","5",0,0,0,0.00137174211248285,0.998628257887517
"559","1","5",0,0,0.0315068493150685,0.268493150684932,0.7
"1640","3","5",0,0,0,0,1
"414","3","5",0,0,0,0.00660501981505945,0.993394980184941
"1709","5","5",0,0,0,0,1
"429","5","5",0,0,0.0452729693741678,0.287616511318242,0.66711051930759
"435","4","5",0,0,0.0556348074179743,0.241084165477889,0.703281027104137
"279","5","5",0,0,0,0,1
"2158","5","5",0,0,0.0446927374301676,0.279329608938547,0.675977653631285
"80","5","5",0,0,0,0,1
"2080","5","5",0,0,0,0.00131926121372032,0.99868073878628
"616","4","4",0,0.00267737617135207,0.282463186077644,0.595716198125837,0.119143239625167
"1769","2","5",0,0,0,0.00556328233657858,0.994436717663421
"233","1","5",0,0,0,0,1
"1571","5","5",0,0,0.0701513067400275,0.192572214580468,0.737276478679505
"343","4","5",0,0,0.305177111716621,0.0122615803814714,0.682561307901907
"1933","3","5",0,0,0.0501930501930502,0.0990990990990991,0.850707850707851
"135","3","5",0.0281293952180028,0,0.0112517580872011,0.168776371308017,0.791842475386779
"532","4","5",0,0,0.0460358056265985,0.239130434782609,0.714833759590793
"1406","5","5",0,0,0,0,1
"1978","5","5",0,0,0.00272479564032698,0.0272479564032698,0.970027247956403
"2354","5","3",0,0.00139082058414465,0.436717663421419,0.221140472878999,0.340751043115438
"1993","3","5",0,0,0,0,1
"1546","3","5",0,0,0,0,1
"49","5","5",0,0,0.0705035971223022,0.197122302158273,0.732374100719424
"1658","5","5",0,0,0,0,1
"2276","4","5",0,0,0,0,1
"1808","3","5",0,0.00418994413407821,0.0195530726256983,0.0111731843575419,0.965083798882682
"2228","4","5",0,0,0,0,1
"619","3","4",0,0.00134770889487871,0.138814016172507,0.73989218328841,0.119946091644205
"2464","3","5",0,0,0,0,1
"1558","4","5",0,0,0,0,1
"349","3","5",0,0,0.225352112676056,0.0197183098591549,0.754929577464789
"2089","4","5",0,0,0,0,1
"2487","4","4",0,0.0013531799729364,0.282814614343708,0.600811907983762,0.115020297699594
"48","4","5",0,0,0.0640113798008535,0.116642958748222,0.819345661450925
"2445","5","5",0,0,0,0,1
"203","4","5",0,0,0.0013550135501355,0.0176151761517615,0.981029810298103
"2502","4","5",0,0,0,0,1
"549","4","5",0,0,0.0424929178470255,0.245042492917847,0.712464589235127
"2390","5","5",0,0,0,0,1
"1842","4","5",0,0,0,0,1
"1718","5","5",0,0,0,0,1
"1706","5","5",0,0,0,0,1
"2353","3","5",0,0,0.329512893982808,0.207736389684814,0.462750716332378
"525","1","5",0,0,0.0331564986737401,0.274535809018568,0.692307692307692
"2368","4","5",0,0,0,0,1
"19","4","5",0,0,0.0824022346368715,0.0418994413407821,0.875698324022346
"1476","5","3",0,0.00133511348464619,0.453938584779706,0.233644859813084,0.311081441922563
"2566","5","5",0,0,0,0,1
"2186","4","5",0,0,0,0,1
"62","4","5",0,0,0,0,1
"329","4","5",0,0,0.0486111111111111,0.266666666666667,0.684722222222222
"558","4","5",0,0,0.0422343324250681,0.26158038147139,0.696185286103542
"2165","1","5",0,0,0,0,1
"1866","5","3",0.14868804664723,0,0.610787172011662,0.0583090379008746,0.182215743440233
"1488","5","5",0,0,0,0,1
"2060","4","5",0,0,0,0,1
"9","5","5",0,0,0.100942126514132,0.0928667563930013,0.806191117092867
"1979","4","5",0,0,0.00130718954248366,0.0065359477124183,0.992156862745098
"2451","5","5",0,0,0,0,1
"227","5","5",0,0,0,0,1
"2467","2","5",0,0,0,0,1
"310","4","5",0,0,0,0,1
"1804","5","5",0,0.0054127198917456,0.060893098782138,0.0094722598105548,0.924221921515562
"1482","4","5",0,0,0,0,1
"2473","2","5",0,0,0,0,1
"371","5","5",0,0,0.056953642384106,0.321854304635762,0.621192052980132
"1479","5","3",0,0.00138888888888889,0.465277777777778,0.191666666666667,0.341666666666667
"2113","5","5",0,0,0,0,1
"1725","1","5",0,0,0,0.00140845070422535,0.998591549295775
"2134","3","5",0,0,0,0,1
"507","4","5",0,0,0,0,1
"188","5","5",0,0,0,0,1
"646","1","5",0,0,0.0498652291105121,0.287061994609164,0.663072776280323
"187","3","5",0,0,0,0,1
"2015","5","5",0,0,0.00407608695652174,0.016304347826087,0.979619565217391
"1757","4","5",0,0,0,0.00271370420624152,0.997286295793758
"239","5","5",0,0,0,0,1
"50","2","5",0,0,0.0452054794520548,0.16986301369863,0.784931506849315
"460","4","5",0,0,0,0,1
"2036","5","5",0,0,0,0,1
"1998","2","5",0,0,0,0,1
"235","3","5",0,0,0,0,1
"2160","5","5",0,0,0.040650406504065,0.33739837398374,0.621951219512195
"2298","5","5",0,0,0.0214190093708166,0.00133868808567604,0.977242302543507
"1408","4","5",0,0,0,0,1
"1897","5","5",0,0,0.0549450549450549,0.284340659340659,0.660714285714286
"2159","3","5",0,0,0.0316804407713499,0.279614325068871,0.68870523415978
"496","5","3",0,0.00938337801608579,0.82573726541555,0.134048257372654,0.0308310991957105
"155","5","5",0,0,0,0.00281293952180028,0.9971870604782
"383","5","5",0,0,0,0,1
"1649","3","5",0,0,0,0,1
"2511","3","5",0,0,0,0,1
"2484","4","4",0,0.0026246719160105,0.284776902887139,0.598425196850394,0.114173228346457
"198","5","5",0,0,0,0,1
"2132","3","5",0,0,0,0,1
"1708","5","5",0,0,0,0,1
"78","4","5",0,0,0,0,1
"1835","3","5",0,0,0,0,1
"2303","3","5",0,0,0,0,1
"1497","5","5",0,0,0,0,1
